"House"	"District"	"LastName"	"FirstName"	"Party"	"Won"	"YearRan"
"Assembly"	1	"Kitchens"	"Joel"	"Republican"	1	2014
"Assembly"	1	"Majeski"	"Joe"	"Democrat"	0	2014
"Assembly"	2	"Jacque"	"Andre"	"Republican"	1	2014
"Assembly"	2	"None"	"None"	"Democrat"	0	2014
"Assembly"	3	"Ott"	"Al"	"Republican"	1	2014
"Assembly"	3	"None"	"None"	"Democrat"	0	2014
"Assembly"	4	"Plaunt"	"Chris"	"Democrat"	0	2014
"Assembly"	4	"Steffen"	"David"	"Republican"	1	2014
"Assembly"	5	"McCabe"	"Jeff"	"Democrat"	0	2014
"Assembly"	5	"Steineke"	"Jim"	"Republican"	1	2014
"Assembly"	6	"None"	"None"	"Democrat"	0	2014
"Assembly"	6	"Tauchen"	"Gary"	"Republican"	1	2014
"Assembly"	7	"Riemer"	"Daniel"	"Democrat"	1	2014
"Assembly"	7	"Espeseth"	"Scott"	"Republican"	0	2014
"Assembly"	8	"Synowicz"	"Vincent"	"Republican"	0	2014
"Assembly"	8	"Zamarripa"	"JoCasta"	"Democrat"	1	2014
"Assembly"	9	"None"	"None"	"Republican"	0	2014
"Assembly"	9	"Zepnick"	"Josh"	"Democrat"	1	2014
"Assembly"	10	"None"	"None"	"Republican"	0	2014
"Assembly"	10	"Bowen"	"David"	"Democrat"	1	2014
"Assembly"	11	"Barnes"	"Mandela"	"Democrat"	1	2014
"Assembly"	11	"None"	"None"	"Republican"	0	2014
"Assembly"	12	"Kessler"	"Frederick"	"Democrat"	1	2014
"Assembly"	12	"None"	"None"	"Republican"	0	2014
"Assembly"	13	"None"	"None"	"Democrat"	0	2014
"Assembly"	13	"Hutton"	"Rob"	"Republican"	1	2014
"Assembly"	14	"None"	"None"	"Democrat"	0	2014
"Assembly"	14	"Kooyenga"	"Dale"	"Republican"	1	2014
"Assembly"	15	"Weishan"	"John F Jr"	"Democrat"	0	2014
"Assembly"	15	"Sanfelippo"	"Joe"	"Republican"	1	2014
"Assembly"	16	"Young"	"Leon"	"Democrat"	1	2014
"Assembly"	16	"None"	"None"	"Republican"	0	2014
"Assembly"	17	"None"	"None"	"Republican"	0	2014
"Assembly"	17	"Johnson"	"La Tonya"	"Democrat"	1	2014
"Assembly"	17	"Stackowitz"	"Eugenie M"	"Independent"	0	2014
"Assembly"	18	"None"	"None"	"Republican"	0	2014
"Assembly"	18	"Goyke"	"Evan"	"Democrat"	1	2014
"Assembly"	19	"None"	"None"	"Republican"	0	2014
"Assembly"	19	"Brostoff"	"Jonathan"	"Democrat"	1	2014
"Assembly"	19	"Klein"	"Joseph Thomas"	"Wisconsin Pirate"	0	2014
"Assembly"	20	"Sinicki"	"Christine"	"Democrat"	1	2014
"Assembly"	20	"McGartland"	"Molly"	"Republican"	0	2014
"Assembly"	21	"None"	"None"	"Democrat"	0	2014
"Assembly"	21	"Rodriguez"	"Jessie"	"Republican"	1	2014
"Assembly"	22	"Brandtjen"	"Janel"	"Republican"	1	2014
"Assembly"	22	"Read"	"Jessie"	"Democrat"	0	2014
"Assembly"	23	"Ott"	"Jim"	"Republican"	1	2014
"Assembly"	23	"Lueck"	"Beth L"	"Democrat"	0	2014
"Assembly"	24	"Knodl"	"Dan"	"Republican"	1	2014
"Assembly"	24	"None"	"None"	"Democrat"	0	2014
"Assembly"	25	"Tittl"	"Paul"	"Republican"	1	2014
"Assembly"	25	"None"	"None"	"Democrat"	0	2014
"Assembly"	26	"Katsma"	"Terry"	"Republican"	1	2014
"Assembly"	26	"Van Akkeren"	"Terry"	"Democrat"	0	2014
"Assembly"	27	"Vorpagel"	"Tyler"	"Republican"	1	2014
"Assembly"	27	"Heinig"	"Scott Grover"	"Democrat"	0	2014
"Assembly"	28	"Jarchow"	"Adam"	"Republican"	1	2014
"Assembly"	28	"Schachtner"	"Travis"	"Democrat"	0	2014
"Assembly"	29	"Murtha"	"John"	"Republican"	1	2014
"Assembly"	29	"None"	"None"	"Democrat"	0	2014
"Assembly"	30	"Knudson"	"Dean"	"Republican"	1	2014
"Assembly"	30	"Laumann"	"Darrel"	"Democrat"	0	2014
"Assembly"	30	"Kroeger"	"Laurie"	"Libertarian"	0	2014
"Assembly"	31	"Loudenbeck"	"Amy"	"Republican"	1	2014
"Assembly"	31	"None"	"None"	"Democrat"	0	2014
"Assembly"	32	"August"	"Tyler"	"Republican"	1	2014
"Assembly"	32	"Kupsik"	"Alan"	"Democrat"	0	2014
"Assembly"	33	"Horlacher"	"Cody"	"Republican"	1	2014
"Assembly"	33	"None"	"None"	"Democrat"	0	2014
"Assembly"	34	"Swearingen"	"Rob"	"Republican"	1	2014
"Assembly"	34	"None"	"None"	"Democrat"	0	2014
"Assembly"	35	"Czaja"	"Mary"	"Republican"	1	2014
"Assembly"	35	"None"	"None"	"Democrat"	0	2014
"Assembly"	36	"Mursau"	"Jeffrey"	"Republican"	1	2014
"Assembly"	36	"None"	"None"	"Democrat"	0	2014
"Assembly"	37	"Jagler"	"John"	"Republican"	1	2014
"Assembly"	37	"Arnold"	"Mary"	"Democrat"	0	2014
"Assembly"	38	"Kleefisch"	"Joel"	"Republican"	1	2014
"Assembly"	38	"Chojnacki"	"Tom"	"Democrat"	0	2014
"Assembly"	39	"Born"	"Mark"	"Republican"	1	2014
"Assembly"	39	"None"	"None"	"Democrat"	0	2014
"Assembly"	39	"Bennett"	"Richard"	"Independent"	0	2014
"Assembly"	40	"Petersen"	"Kevin"	"Republican"	1	2014
"Assembly"	40	"None"	"None"	"Democrat"	0	2014
"Assembly"	41	"Ballweg"	"Joan"	"Republican"	1	2014
"Assembly"	41	"Kallas"	"Joe"	"Democrat"	0	2014
"Assembly"	42	"Ripp"	"Keith"	"Republican"	1	2014
"Assembly"	42	"Ferriter"	"George"	"Democrat"	0	2014
"Assembly"	43	"Jorgensen"	"Andy"	"Democrat"	1	2014
"Assembly"	43	"Hebert"	"Leon"	"Republican"	0	2014
"Assembly"	44	"Kolste"	"Debra"	"Democrat"	1	2014
"Assembly"	44	"Dorsey"	"Jacob"	"Republican"	0	2014
"Assembly"	45	"Spreitzer"	"Mark"	"Democrat"	1	2014
"Assembly"	45	"None"	"None"	"Republican"	0	2014
"Assembly"	46	"Hebl"	"Gary"	"Democrat"	1	2014
"Assembly"	46	"None"	"None"	"Republican"	0	2014
"Assembly"	47	"Kahl"	"Robb"	"Democrat"	1	2014
"Assembly"	47	"None"	"None"	"Republican"	0	2014
"Assembly"	47	"Anderson"	"Phillip"	"Libertarian"	0	2014
"Assembly"	48	"Sargent"	"Melissa"	"Democrat"	1	2014
"Assembly"	49	"Tranel"	"Travis"	"Republican"	1	2014
"Assembly"	49	"Henneman"	"Chad"	"Democrat"	0	2014
"Assembly"	50	"Brooks"	"Ed"	"Republican"	1	2014
"Assembly"	50	"Miller"	"Christopher"	"Democrat"	0	2014
"Assembly"	51	"Novak"	"Todd"	"Republican"	1	2014
"Assembly"	51	"Cates"	"Dick"	"Democrat"	0	2014
"Assembly"	52	"Thiesfeldt"	"Jeremy"	"Republican"	1	2014
"Assembly"	52	"None"	"None"	"Democrat"	0	2014
"Assembly"	53	"Schraa"	"Michael"	"Republican"	1	2014
"Assembly"	53	"None"	"None"	"Democrat"	0	2014
"Assembly"	54	"Hintz"	"Gordon"	"Democrat"	1	2014
"Assembly"	54	"Elliott"	"Mark"	"Republican"	0	2014
"Assembly"	55	"Rohrkaste"	"Mike"	"Republican"	1	2014
"Assembly"	55	"Westphal"	"Mark"	"Democrat"	0	2014
"Assembly"	56	"Murphy"	"Dave"	"Republican"	1	2014
"Assembly"	56	"None"	"None"	"Democrat"	0	2014
"Assembly"	57	"Stuck"	"Amanda"	"Democrat"	1	2014
"Assembly"	57	"Klein"	"Chris"	"Republican"	0	2014
"Assembly"	58	"Gannon"	"Bob"	"Republican"	1	2014
"Assembly"	58	"None"	"None"	"Democrat"	0	2014
"Assembly"	59	"Kremer"	"Jesse"	"Republican"	1	2014
"Assembly"	59	"None"	"None"	"Democrat"	0	2014
"Assembly"	60	"Brooks"	"Robert"	"Republican"	1	2014
"Assembly"	60	"None"	"None"	"Democrat"	0	2014
"Assembly"	61	"Kerkman"	"Samantha"	"Republican"	1	2014
"Assembly"	61	"None"	"None"	"Democrat"	0	2014
"Assembly"	62	"Weatherston"	"Thomas"	"Republican"	1	2014
"Assembly"	62	"None"	"None"	"Democrat"	0	2014
"Assembly"	63	"Vos"	"Robin"	"Republican"	1	2014
"Assembly"	63	"Vos"	"Robin"	"Republican"	1	2012
"Assembly"	63	"Vos"	"Robin"	"Republican"	1	2010
"Assembly"	63	"Mitchell"	"Andy"	"Democrat"	0	2014
"Assembly"	64	"Barca"	"Peter"	"Democrat"	1	2014
"Assembly"	64	"None"	"None"	"Republican"	0	2014
"Assembly"	65	"None"	"None"	"Republican"	0	2014
"Assembly"	65	"Ohnstad"	"Tod"	"Democrat"	1	2014
"Assembly"	66	"Meyers"	"George"	"Libertarian"	0	2014
"Assembly"	66	"Mason"	"Cory"	"Democrat"	1	2014
"Assembly"	66	"None"	"None"	"Republican"	0	2014
"Assembly"	67	"Larson"	"Tom"	"Republican"	1	2014
"Assembly"	67	"Stene"	"Gary L"	"Democrat"	0	2014
"Assembly"	68	"Bernier"	"Kathy"	"Republican"	1	2014
"Assembly"	68	"Peck"	"Jeff"	"Democrat"	0	2014
"Assembly"	69	"Kulp"	"Bob"	"Republican"	1	2014
"Assembly"	69	"Salamonski"	"Norbert"	"Democrat"	0	2014
"Assembly"	70	"VanderMeer"	"Nancy"	"Republican"	1	2014
"Assembly"	70	"Vruwink"	"Amy Sue"	"Democrat"	0	2014
"Assembly"	71	"Shankland"	"Katrina"	"Democrat"	1	2014
"Assembly"	71	"None"	"None"	"Republican"	0	2014
"Assembly"	72	"Krug"	"Scott"	"Republican"	1	2014
"Assembly"	72	"Duncan"	"Dana"	"Democrat"	0	2014
"Assembly"	73	"Milroy"	"Nick"	"Democrat"	1	2014
"Assembly"	73	"None"	"None"	"Republican"	0	2014
"Assembly"	74	"Meyers"	"Beth"	"Democrat"	1	2014
"Assembly"	74	"Francis"	"Jamey"	"Republican"	0	2014
"Assembly"	75	"Quinn"	"Romaine"	"Republican"	1	2014
"Assembly"	75	"Smith"	"Stephen"	"Democrat"	0	2014
"Assembly"	76	"Taylor"	"Chris"	"Democrat"	1	2014
"Assembly"	76	"None"	"None"	"Republican"	0	2014
"Assembly"	77	"Berceau"	"Terese"	"Democrat"	1	2014
"Assembly"	77	"None"	"None"	"Republican"	0	2014
"Assembly"	78	"Subeck"	"Lisa"	"Democrat"	1	2014
"Assembly"	78	"None"	"None"	"Republican"	0	2014
"Assembly"	79	"Hesselbein"	"Dianne"	"Democrat"	1	2014
"Assembly"	79	"Renteria"	"Brent"	"Republican"	0	2014
"Assembly"	80	"Pope"	"Sondy"	"Democrat"	1	2014
"Assembly"	80	"None"	"None"	"Democrat"	0	2014
"Assembly"	81	"Considine"	"Dave"	"Democrat"	1	2014
"Assembly"	81	"Kirsch"	"Ashton"	"Republican"	0	2014
"Assembly"	82	"Skowronski"	"Ken"	"Republican"	1	2014
"Assembly"	82	"None"	"None"	"Democrat"	0	2014
"Assembly"	83	"Craig"	"Dave"	"Republican"	1	2014
"Assembly"	83	"Brownlow"	"Jim"	"Democrat"	0	2014
"Assembly"	84	"Kuglitsch"	"Mike"	"Republican"	1	2014
"Assembly"	84	"None"	"None"	"Democrat"	0	2014
"Assembly"	85	"Heaton"	"Dave"	"Republican"	1	2014
"Assembly"	85	"Wright"	"Mandy"	"Democrat"	0	2014
"Assembly"	86	"Spiros"	"John"	"Republican"	1	2014
"Assembly"	86	"Stencil"	"Nancy"	"Democrat"	0	2014
"Assembly"	87	"Edming"	"James"	"Republican"	1	2014
"Assembly"	87	"Pulcher"	"Richard"	"Democrat"	0	2014
"Assembly"	88	"Macco"	"John"	"Republican"	1	2014
"Assembly"	88	"Robinson"	"Dan"	"Democrat"	0	2014
"Assembly"	89	"Nygren"	"John"	"Republican"	1	2014
"Assembly"	89	"None"	"None"	"Democrat"	0	2014
"Assembly"	90	"Genrich"	"Eric"	"Democrat"	1	2014
"Assembly"	90	"Wimberger"	"Eric"	"Republican"	0	2014
"Assembly"	90	"Sortwell"	"Shae"	"Independent"	0	2014
"Assembly"	91	"Wachs"	"Dana"	"Democrat"	1	2014
"Assembly"	91	"None"	"None"	"Republican"	0	2014
"Assembly"	92	"Danou"	"Chris"	"Democrat"	1	2014
"Assembly"	92	"Weix"	"Isaac"	"Republican"	0	2014
"Assembly"	93	"Petryk"	"Warren"	"Republican"	1	2014
"Assembly"	93	"Smith"	"Jeff"	"Democrat"	0	2014
"Assembly"	94	"Doyle"	"Steve"	"Democrat"	1	2014
"Assembly"	94	"Happel"	"Tracie"	"Republican"	0	2014
"Assembly"	95	"Billings"	"Jill"	"Democrat"	1	2014
"Assembly"	95	"None"	"None"	"Republican"	0	2014
"Assembly"	96	"Nerison"	"Lee"	"Republican"	1	2014
"Assembly"	96	"Flesch"	"Peter"	"Democrat"	0	2014
"Assembly"	97	"Allen"	"Scott"	"Republican"	1	2014
"Assembly"	97	"None"	"None"	"Democrat"	0	2014
"Assembly"	98	"Neylon"	"Adam"	"Republican"	1	2014
"Assembly"	98	"None"	"None"	"Democrat"	0	2014
"Assembly"	99	"Jensen"	"Alice"	"Democrat"	0	2014
"Assembly"	99	"Kapenga"	"Chris"	"Republican"	1	2014
"Assembly"	99	"Duchow"	"Cindi"	"Republican"	1	2015
